entry_id,user_id,entry_date,journal_text,sentiment_score,primary_emotion,mood_category,consecutive_low_days,spiral_flag,department,year_of_study
1,student_001,2026-02-01,"Today's lecture was awesome, finally understood the concept!",0.45,joy,Positive,0,False,Humanities,1
2,student_001,2026-02-03,Attended classes and submitted the assignment on time.,0.05,neutral,Neutral,0,False,Humanities,1
3,student_001,2026-02-04,Attended classes and submitted the assignment on time.,-0.11,neutral,Neutral,0,False,Humanities,1
4,student_001,2026-02-06,"Scored well in the mid-sem exam, feeling really good!",0.8,joy,Positive,0,False,Humanities,1
5,student_001,2026-02-07,My roommate helped me a lot with the assignment. Mess ka khana kharab tha.,0.89,hope,Positive,0,False,Humanities,1
6,student_001,2026-02-08,"Got selected for the college fest team, super excited! Mess ka khana kharab tha.",0.44,joy,Positive,0,False,Humanities,1
7,student_001,2026-02-09,Had a productive study session in the library.,0.52,hope,Positive,0,False,Humanities,1
8,student_001,2026-02-10,Attended classes and submitted the assignment on time. Ghar ki yaad aa rahi hai.,0.08,neutral,Neutral,0,False,Humanities,1
9,student_001,2026-02-11,Weather was nice but I stayed in and rested. Mess ka khana kharab tha.,-0.17,neutral,Neutral,0,False,Humanities,1
10,student_001,2026-02-12,"Today's lecture was awesome, finally understood the concept! Mess ka khana kharab tha.",0.88,joy,Positive,0,False,Humanities,1
11,student_001,2026-02-13,"Got selected for the college fest team, super excited!",0.54,hope,Positive,0,False,Humanities,1
12,student_001,2026-02-14,"Professor scolded me in front of the whole class, felt really bad.",-0.87,anger,Negative,1,False,Humanities,1
13,student_001,2026-02-18,Maybe I should go for counselling but the stigma is too much.,-0.59,anger,Negative,2,False,Humanities,1
14,student_001,2026-02-19,"I'm really scared about the upcoming exams, nothing is making sense. Ghar ki yaad aa rahi hai.",-0.42,sadness,Negative,3,False,Humanities,1
15,student_001,2026-02-20,I don't even feel like getting out of bed in the morning. Mess ka khana kharab tha.,-0.68,sadness,Negative,4,False,Humanities,1
16,student_001,2026-02-21,The mess food was terrible and now my stomach is upset. Ghar ki yaad aa rahi hai.,-0.57,fear,Negative,5,True,Humanities,1
17,student_001,2026-02-22,"Got rejected from the internship I wanted, feeling demotivated. Ghar ki yaad aa rahi hai.",-0.38,fear,Negative,6,True,Humanities,1
18,student_001,2026-02-23,I don't even feel like getting out of bed in the morning. Ghar ki yaad aa rahi hai.,-0.73,sadness,Negative,7,True,Humanities,1
19,student_001,2026-02-24,"Couldn't concentrate at all today, everything feels overwhelming.",-0.9,anger,Negative,8,True,Humanities,1
20,student_001,2026-02-25,"Got rejected from the internship I wanted, feeling demotivated. Mess ka khana kharab tha.",-0.62,sadness,Negative,9,True,Humanities,1
21,student_001,2026-02-26,Maybe I should go for counselling but the stigma is too much.,-0.5,neutral,Negative,10,True,Humanities,1
22,student_001,2026-02-27,"Got selected for the college fest team, super excited!",0.68,joy,Positive,0,False,Humanities,1
23,student_001,2026-02-28,I don't even feel like getting out of bed in the morning. Mess ka khana kharab tha.,-0.6,joy,Negative,1,False,Humanities,1
24,student_001,2026-03-02,"Couldn't concentrate at all today, everything feels overwhelming. Mess ka khana kharab tha. Ghar ki yaad aa rahi hai.",-0.75,fear,Negative,2,False,Humanities,1
25,student_002,2026-02-01,My roommate helped me a lot with the assignment. Ghar ki yaad aa rahi hai.,0.66,joy,Positive,0,False,Engineering,3
26,student_002,2026-02-03,Made solid progress in placement preparation today.,0.77,joy,Positive,0,False,Engineering,3
27,student_002,2026-02-04,Had a productive study session in the library. Mess ka khana kharab tha. Ghar ki yaad aa rahi hai.,0.69,gratitude,Positive,0,False,Engineering,3
28,student_002,2026-02-05,Had a productive study session in the library.,0.87,joy,Positive,0,False,Engineering,3
29,student_002,2026-02-07,"There was a power cut the whole night, couldn't finish the assignment. Mess ka khana kharab tha.",-0.82,overwhelm,Negative,1,False,Engineering,3
30,student_002,2026-02-08,"Today's lecture was awesome, finally understood the concept!",0.83,gratitude,Positive,0,False,Engineering,3
31,student_002,2026-02-09,"Couldn't concentrate at all today, everything feels overwhelming. Mess ka khana kharab tha.",-0.37,fear,Negative,1,False,Engineering,3
32,student_002,2026-02-11,Made solid progress in placement preparation today.,0.49,joy,Positive,0,False,Engineering,3
33,student_002,2026-02-12,"Today's lecture was awesome, finally understood the concept! Ghar ki yaad aa rahi hai.",0.47,hope,Positive,0,False,Engineering,3
34,student_002,2026-02-13,Went to lectures and came back to the hostel.,-0.04,neutral,Neutral,0,False,Engineering,3
35,student_002,2026-02-14,"Got selected for the college fest team, super excited!",0.91,joy,Positive,0,False,Engineering,3
36,student_002,2026-02-15,"In the group project, everyone is blaming me for everything.",-0.87,anxiety,Negative,1,False,Engineering,3
37,student_002,2026-02-16,Attended classes and submitted the assignment on time.,-0.02,neutral,Neutral,0,False,Engineering,3
